time,pm2_5,temperature_2m,relative_humidity_2m,wind_u,wind_v,boundary_layer_height,precipitation,nitrogen_dioxide,hour_sin,hour_cos
2025-11-01T03:00,104.8,21.2,89,5.196832300499298,0.18147738285300397,100.0,0.0,38.5,0.7071067811865476,0.7071067811865476
2025-11-01T04:00,103.6,20.8,92,5.370418234988676,0.5644537016453282,95.0,0.0,35.8,0.8660254037844386,0.5000000000000001
2025-11-01T05:00,116.4,20.9,95,5.421022142882375,1.7613968679372012,75.0,0.0,50.2,0.9659258262890683,0.25881904510252074
2025-11-01T06:00,117.3,20.8,96,4.841790925505785,-2.1557042083017386,75.0,0.0,51.8,1.0,6.123233995736766e-17
2025-11-01T07:00,122.5,21.3,91,6.0916401620029,-0.3192493330819581,80.0,0.0,53.4,0.9659258262890683,-0.25881904510252063
2025-11-01T08:00,117.3,23.1,81,3.961072274966281,0.5566924038402633,100.0,0.0,50.5,0.8660254037844387,-0.4999999999999998
2025-11-01T09:00,100.4,26.0,64,4.2973805561821115,0.15006783582075325,195.0,0.0,38.8,0.7071067811865476,-0.7071067811865475
2025-11-01T10:00,83.6,28.4,48,5.4091846272187825,-1.4493866525741135,660.0,0.0,22.5,0.49999999999999994,-0.8660254037844387
2025-11-01T11:00,71.9,29.8,36,7.375285369327894,-2.831106801407873,1880.0,0.0,10.3,0.258819045102521,-0.9659258262890682
2025-11-01T12:00,63.8,30.6,31,7.929958065276476,-4.040515447681965,2030.0,0.0,4.8,1.2246467991473532e-16,-1.0
2025-11-01T13:00,59.8,30.9,29,8.652886410017485,-4.600821315301727,2220.0,0.0,3.2,-0.2588190451025208,-0.9659258262890683
2025-11-01T14:00,59.0,30.8,29,8.743106467161546,-5.253388364082552,2240.0,0.0,6.0,-0.4999999999999997,-0.8660254037844388
2025-11-01T15:00,60.1,30.4,29,8.743106467161546,-5.253388364082552,2145.0,0.0,15.5,-0.7071067811865471,-0.7071067811865479
2025-11-01T16:00,63.3,29.6,30,8.31384387633061,-4.800000000000001,2050.0,0.0,29.3,-0.8660254037844385,-0.5000000000000004
2025-11-01T17:00,98.3,27.0,47,3.471053092307314,-4.13663999284248,310.0,0.0,42.3,-0.9659258262890683,-0.25881904510252063
2025-11-01T18:00,104.8,25.6,52,3.4303456319666754,-4.55222240726957,195.0,0.0,44.1,-1.0,-1.8369701987210297e-16
2025-11-01T19:00,108.0,24.7,55,4.853487850015503,-2.3672041926610183,125.0,0.0,46.5,-0.9659258262890684,0.2588190451025203
2025-11-01T20:00,109.4,24.1,56,5.966700364476214,-1.2682613139883325,105.0,0.0,46.9,-0.8660254037844386,0.5000000000000001
2025-11-01T21:00,111.8,23.5,58,5.991777208527443,-0.31401573745766365,80.0,0.0,44.2,-0.7071067811865477,0.7071067811865474
2025-11-01T22:00,112.7,23.0,58,5.955276909847933,0.731216060430883,65.0,0.0,39.5,-0.5000000000000004,0.8660254037844384
2025-11-01T23:00,111.1,22.0,68,5.187333061351086,0.362733663469453,50.0,0.0,34.3,-0.25881904510252157,0.9659258262890681
2025-11-02T00:00,107.1,21.4,68,5.728592375451799,-0.9073198972333378,65.0,0.0,28.2,0.0,1.0
2025-11-02T01:00,102.2,21.2,68,6.064515124549595,-1.2890524830701084,75.0,0.0,21.6,0.25881904510252074,0.9659258262890683
